trimestre,canalAcesso,produto,acessoATM,qtdTransacoes,valorTransacoes
20213,ATM,Saque,ATM/Acesso restrito,297540511,"183043195018,13"
20213,ATM,Boletos e Convênios,ATM/Acesso restrito,49469078,"30648709904,4"
20213,Internet Banking,Outras Financeiras,Não aplicável,494710854,"1508506888035,17"
20213,Telefone Celular,Outras não Financeiras,Não aplicável,3152047875,0
20213,Posto de Atendimento Cooperativo,Depósito,Não aplicável,9071371,"14625687218,63"
20213,Posto de Atendimento Cooperativo,Ordem de Transferência de Crédito,Não aplicável,6136109,"85603560384,34"
20213,Correspondentes no País,Outras Financeiras,Não aplicável,240556,"298262648,9"
20213,Agências,Outras Financeiras,Não aplicável,141252740,"3504473718956,22"
20213,Centrais de Atendimento,Boletos e Convênios,Não aplicável,297078,"411475034,18"
20213,Agências,Boletos e Convênios,Não aplicável,68475865,"148875815351,37"
20213,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão próprio,242827412,0
20213,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão terceiro,3741,20482
20213,ATM,Outras Financeiras,ATM/Acesso restrito,1253221,"12256994215,93"
20213,Telefone Celular,Outras Financeiras,Não aplicável,52782110,"196427021773,61"
20213,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão próprio,18088024,"9424194965,43"
20213,Correspondentes no País,Ordem de Transferência de Crédito,Não aplicável,668195,"21185531607,62"
20213,ATM,Ordem de Transferência de Crédito,ATM/Acesso restrito,19257662,"42446450605,12"
20213,Telefone Celular,Ordem de Transferência de Crédito,Não aplicável,285755449,"689144619608,03"
20213,ATM,Pix,ATM/Acesso restrito,43,10760
20213,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão terceiro,670333,"548342744,52"
20213,Correspondentes no País,Outras não Financeiras,Não aplicável,2858543,0
20213,Correspondentes no País,Saque,Não aplicável,129970842,"69577779755,97"
20213,Correspondentes no País,Depósito,Não aplicável,111098785,"53810344392,73"
20213,Posto de Atendimento Cooperativo,Boletos e Convênios,Não aplicável,62883786,"62557261418,06"
20213,Internet Banking,Consulta Saldo/Extrato,Não aplicável,2130933244,"13,5"
20213,Centrais de Atendimento,Empréstimos e Financiamentos,Não aplicável,822948,"12060603756,56"
20213,Centrais de Atendimento,Ordem de Transferência de Crédito,Não aplicável,278282,"21477022779,98"
20213,ATM,Pix,ATM/Acesso aberto/Cartão terceiro,40363,6886500
20213,Centrais de Atendimento,Consulta Saldo/Extrato,Não aplicável,132176619,0
20213,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão terceiro,104923363,0
20213,Telefone Celular,Boletos e Convênios,Não aplicável,770969722,"463963526966,58"
20213,ATM,Depósito,ATM/Acesso restrito,162665854,"163249982655,02"
20213,ATM,Empréstimos e Financiamentos,ATM/Acesso restrito,12566654,"6415445097,21"
20213,Internet Banking,Ordem de Transferência de Crédito,Não aplicável,210912992,"5671353567503,88"
20213,Telefone Celular,Consulta Saldo/Extrato,Não aplicável,11909800460,0
20213,Correspondentes no País,Boletos e Convênios,Não aplicável,535301774,"131178696047,95"
20213,ATM,Consulta Saldo/Extrato,ATM/Acesso restrito,212141559,0
20214,Posto de Atendimento Cooperativo,Boletos e Convênios,Não aplicável,64424701,"67259793079,91"
20214,Internet Banking,Outras Financeiras,Não aplicável,538437519,"1576335452807,86"
20214,ATM,Saque,ATM/Acesso aberto/Cartão terceiro,328732227,"115577085822,45"
20214,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão próprio,4880836,"7076564230,98"
20214,ATM,Depósito,ATM/Acesso aberto/Cartão terceiro,3916546,"4035047595,96"
20214,Correspondentes no País,Empréstimos e Financiamentos,Não aplicável,12142556,"43779218689,74"
20214,Centrais de Atendimento,Outras não Financeiras,Não aplicável,46852332,0
20214,Internet Banking,Outras não Financeiras,Não aplicável,1364469250,0
20214,Agências,Depósito,Não aplicável,55997983,"2777575244286,65"
20214,Correspondentes no País,Boletos e Convênios,Não aplicável,524555014,"136370826765,79"
20214,Centrais de Atendimento,Outras Financeiras,Não aplicável,441847,"125693616799,77"
20214,Internet Banking,Boletos e Convênios,Não aplicável,397906446,1324109374254
20214,ATM,Consulta Saldo/Extrato,ATM/Acesso restrito,195326972,0
20214,Posto de Atendimento Cooperativo,Depósito,Não aplicável,10781662,"14616253031,56"
20214,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão terceiro,648309,"555408003,1"
20214,ATM,Outras Financeiras,ATM/Acesso restrito,1251994,"31531347622,78"
20214,ATM,Ordem de Transferência de Crédito,ATM/Acesso restrito,15833252,"36181139629,63"
